Title;Rating;Image;Demography;Genres;Year;List
Jujutsu Kaisen;8.54/10;https://otakuteca.com/images/books/cover/658c816be83be.webp;Shounen;Acción, Sobrenatural, Drama, Horror, Vida Escolar, Demonios, Gore;2018;Siguiendo
Kaifuku Jutsushi no Yarinaoshi;6.89/10;https://otakuteca.com/images/books/cover/61018c6d9c438.webp;Seinen;Aventura, Harem, Gore, Ecchi, Reencarnación, Acción, Tragedia;2017;Siguiendo
Kakushigoto - Secrets;0.00/10;https://otakuteca.com/images/books/cover/5b5b33dac4e59.webp;Seinen;Drama, Vida Escolar, Recuentos de la vida, Sobrenatural;2018;Siguiendo
Kanan-sama Might be Easy;9.00/10;https://otakuteca.com/images/books/cover/629634d78ab1c.webp;Shounen;Comedia, Demonios, Fantasia, Romance, Recuentos de la vida;2022;Siguiendo
Kanojo ga Flag wo Oraretara;8.92/10;https://otakuteca.com/images/books/cover/5d08acaf04364.webp;Shounen;Comedia, Recuentos de la vida, Ecchi, Sobrenatural, Romance, Harem, Vida Escolar;2011 - 2015;Siguiendo
Kanojo, Okarishimasu;3.92/10;https://otakuteca.com/images/books/cover/606cda6f538c7.webp;Shounen;Comedia, Ecchi, Romance, Vida Escolar, Drama;2017;Siguiendo
Kawaii dake ja Nai Shikimori-san;7.33/10;https://otakuteca.com/images/books/cover/5ce7220a590d8.webp;Shounen;Romance, Vida Escolar, Comedia, Recuentos de la vida;2019 - 2023;Siguiendo
A Cute Girlfriend.;7.77/10;https://otakuteca.com/images/books/cover/63b2b1bfc6e55.webp;Shounen;Romance, Recuentos de la vida, Crimen, Drama, Misterio, Psicológico;2022;Siguiendo
Mechanical Marie;0.00/10;https://otakuteca.com/images/books/cover/606bbd6a6ff56.webp;Shoujo;Acción, Comedia, Drama, Romance, Recuentos de la vida;2020;Siguiendo
Kimetsu no Yaiba;8.28/10;https://otakuteca.com/images/books/cover/6347011a463ea.webp;Shounen;Acción, Demonios, Sobrenatural, Aventura, Fantasia, Tragedia, Historia;2016 - 2020;Siguiendo
I Want to Do Bad Things with You;7.25/10;https://otakuteca.com/images/books/cover/635a26e8569a0.webp;Shounen;Acción, Comedia, Romance, Vida Escolar;2022;Siguiendo
Amor, clarividencia e inexperiencia;8.50/10;https://otakuteca.com/images/books/cover/62f0b7ed8039b.webp;Shounen;Comedia, Romance, Vida Escolar;2021;Siguiendo
Koi to Utatane;9.00/10;https://otakuteca.com/images/books/cover/5f8ee38f1a90b.webp;Shounen;Recuentos de la vida, Romance, Vida Escolar;2017;Siguiendo
Koi wa iikara nemuritai!;7.67/10;https://otakuteca.com/images/books/cover/6094b4ee24c15.webp;Shounen;Comedia, Ecchi, Romance, Vida Escolar, Harem;2020;Siguiendo
Love After World Domination;8.80/10;https://otakuteca.com/images/books/cover/625072312d9d9.webp;Shounen;Acción, Aventura, Comedia, Romance, Ciencia Ficción, Sobrenatural;2019 - 2022;Siguiendo
Kokoro Kimi-iro Sakurairo;8.62/10;https://otakuteca.com/images/books/cover/5ff89752bb128.webp;Shoujo;Romance;2016;Siguiendo
Konna Watashi ni Kitaishinai de;6.67/10;https://otakuteca.com/images/books/cover/5f470be28a5e6.webp;Seinen;Comedia, Ecchi, Vida Escolar;2020 - 2022;Siguiendo
Kono Gomi o Nanto Yobu;4.29/10;https://otakuteca.com/images/books/cover/62943efead8b4.webp;Seinen;Comedia, Drama, Psicológico, Romance, Vida Escolar;2020;Siguiendo
Kono Sekai wa Tsuite iru;9.00/10;https://otakuteca.com/images/books/cover/5c9112c76d44b.webp;Seinen;Comedia, Demonios, Fantasia, Vampiros, Romance;2018;Siguiendo
Kubo-san wa Boku (Mobu) wo Yurusanai;8.38/10;https://otakuteca.com/images/books/cover/5ef13f8de9087.webp;Shounen;Comedia, Romance, Vida Escolar, Recuentos de la vida;2019 - 2023;Siguiendo
Class no Daikirai na Joshi to Kekkon Suru Koto ni Natta.;9.80/10;https://otakuteca.com/images/books/cover/61cc613677555.webp;Shounen;Comedia, Romance, Vida Escolar, Recuentos de la vida;2021;Siguiendo
Kuroiwa Medaka Ni Watashi No Kawaii Ga Tsuujinai;8.42/10;https://otakuteca.com/images/books/cover/60f71edeeb668.webp;Shounen;Comedia, Ecchi, Romance, Vida Escolar, Recuentos de la vida;2021;Siguiendo
The Black Cat and the Witch Classroom;7.00/10;https://otakuteca.com/images/books/cover/632dba2a2b30a.webp;Shounen;Comedia, Fantasia, Romance, Vida Escolar, Recuentos de la vida, Sobrenatural;2022;Siguiendo
Kuso Onna ni Sachiare;6.67/10;https://otakuteca.com/images/books/cover/65b2c3b0c8fb4.webp;Shounen;Comedia, Romance;2023;Siguiendo
Kusunoki-san wa Koukou Debut ni Shippaishiteiru;7.14/10;https://otakuteca.com/images/books/cover/644bfa214f7f2.webp;Shounen;Comedia, Romance, Vida Escolar, Recuentos de la vida;2022;Siguiendo
Kyou kara Ore wa Loli no Himo!;7.75/10;https://otakuteca.com/images/books/cover/5ea0e6633e2aa.webp;Seinen;Comedia, Ecchi, Harem, Romance, Recuentos de la vida;2018;Siguiendo
La Vida Después de la Muerte;8.80/10;https://otakuteca.com/images/books/cover/5ddde8a92558c.webp;Shounen;Acción, Aventura, Comedia, Drama, Magia, Reencarnación, Superpoderes;2018;Siguiendo
Viviendo En Este Mundo Con Cortar Y Pegar;0.00/10;https://otakuteca.com/images/books/cover/5b96be485dd63.webp;Seinen;Acción, Aventura, Ecchi, Fantasia, Harem, Romance, Recuentos de la vida;2016;Siguiendo
Mairimashita! Iruma-kun;9.37/10;https://otakuteca.com/images/books/cover/60dccc7dbac27.webp;Shounen;Comedia, Fantasia, Sobrenatural, Demonios, Magia, Vida Escolar, Romance;2017;Siguiendo
