Title;Rating;Image;Demography;Genres;Year;List
The Villainess Noble Girl Wants to Slim Down Her Husband;9.00/10;https://otakuteca.com/images/books/cover/5c9061b105fba.jpg;Shoujo;Drama, Fantasia, Romance, Recuentos de la vida;;Siguiendo
Ao no Orchestra;10.00/10;https://otakuteca.com/images/books/cover/622d3e96a50d4.jpg;Shounen;Drama, Romance, Vida Escolar, Recuentos de la vida, Comedia, Musica;2017;Siguiendo
Assassin's Pride;8.56/10;https://otakuteca.com/images/books/cover/607de16b3ddf2.jpg;Seinen;Acción, Aventura, Comedia, Ecchi, Fantasia, Harem, Artes Marciales, Misterio, Romance;2017;Siguiendo
Aunque sea en una sola cosa... ¡Lo superaré!;0.00/10;https://otakuteca.com/images/books/cover/5c87f6f7bf7c7.jpg;Shounen;Comedia, Drama, Familia, Romance, Vida Escolar;2019;Siguiendo
Bandai Kaname wa Asobitai;8.00/10;https://otakuteca.com/images/books/cover/5b79da6d8f941.jpg;Shounen;Comedia, Romance, Vida Escolar, Ecchi;2017;Siguiendo
Ittsumo Shio Taiou na Osananajimi da kedo, Ore ni Kataomoi Shiteiru no ga Bare Bare de Kawaii;8.00/10;https://otakuteca.com/images/books/cover/61d08056318d8.jpg;Shounen;Comedia, Romance, Recuentos de la vida;2021;Siguiendo
Tonari no Seki no Satou-san;10.00/10;https://otakuteca.com/images/books/cover/5efd0c9c4a102.jpg;Seinen;Romance, Vida Escolar, Recuentos de la vida;2019 - 2020;Siguiendo
Save & Load no Dekiru Yadoya-San;10.00/10;https://otakuteca.com/images/books/cover/5e349eba44cbf.jpg;Shounen;Acción, Aventura, Comedia, Fantasia, Harem;2018;Siguiendo
The Swordsman Called the Countless Swords Sorcerer;9.40/10;https://otakuteca.com/images/books/cover/6106f8ce7174c.jpg;Shounen;Acción, Aventura, Niños, Tragedia, Fantasia, Magia, Drama;2019;Siguiendo
Black Clover;8.05/10;https://otakuteca.com/images/books/cover/64c00b2373118.jpg;Shounen;Acción, Comedia, Fantasia, Magia, Aventura, Romance, Superpoderes;2015;Siguiendo
Black Kanojo;6.00/10;https://otakuteca.com/images/books/cover/5e35d05f6e419.jpg;Seinen;Comedia, Drama, Ecchi, Gore, Romance, Vida Escolar, Harem;2015 - 2017;Siguiendo
Blue Lock;8.32/10;https://otakuteca.com/images/books/cover/5d07c1d52967b.jpg;Shounen;Deporte, Acción, Drama, Psicológico, Supervivencia;2018;Siguiendo
"""Ella vino a la fuerza hacia a mí""";8.80/10;https://otakuteca.com/images/books/cover/61ccc9c49d3e8.jpg;Seinen;Comedia, Romance, Recuentos de la vida;2021;Siguiendo
Bokutachi wa Benkyou ga Dekinai;8.47/10;https://otakuteca.com/images/books/cover/5cabf0bda739f.jpg;Shounen;Comedia, Romance, Vida Escolar, Harem, Drama, Recuentos de la vida;2017 - 2021;Siguiendo
Buta Koushaku ni Tensei Shitakara, Kondo wa Kimi ni Suki to Iitai;7.50/10;https://otakuteca.com/images/books/cover/6052dd1ba7431.jpg;Shounen;Aventura, Comedia, Fantasia, Romance, Vida Escolar, Recuentos de la vida;2017;Siguiendo
Chainsaw Man;8.88/10;https://otakuteca.com/images/books/cover/5cca10a79a95e.jpg;Shounen;Acción, Horror, Sobrenatural, Demonios, Comedia, Fantasia, Romance;2018;Siguiendo
